wallet,tx_count,total_value,first_tx,last_tx,active_days
0x0039f22efb07a647557c7c5d17854cfd6d489ef3,23,2e+20,2019-09-02 19:09:07+00:00,2022-09-06 23:58:39+00:00,1101
0x06b51c6882b27cb05e712185531c1f74996dd988,1,0.0,2020-10-16 00:16:57+00:00,2020-10-16 00:16:57+00:00,1
0x0795732aacc448030ef374374eaae57d2965c16c,1,0.0,2020-11-25 13:13:37+00:00,2020-11-25 13:13:37+00:00,1
0x0aaa79f1a86bc8136cd0d1ca0d51964f4e3766f9,1,0.0,2020-12-12 06:15:09+00:00,2020-12-12 06:15:09+00:00,1
0x0fe383e5abc200055a7f391f94a5f5d1f844b9ae,1,0.0,2020-10-21 13:02:48+00:00,2020-10-21 13:02:48+00:00,1
0x104ae61d8d487ad689969a17807ddc338b445416,1,0.0,2020-12-16 05:19:37+00:00,2020-12-16 05:19:37+00:00,1
0x111c7208a7e2af345d36b6d4aace8740d61a3078,2,0.0,2020-11-05 19:38:35+00:00,2020-11-05 20:16:30+00:00,1
0x124853fecb522c57d9bd5c21231058696ca6d596,3,6882000088691711.0,2020-11-08 05:01:17+00:00,2020-11-08 05:26:05+00:00,1
0x13b1c8b0e696aff8b4fee742119b549b605f3cbc,1,0.0,2020-12-14 07:25:50+00:00,2020-12-14 07:25:50+00:00,1
0x19df3e87f73c4aaf4809295561465b993e102668,1,0.0,2020-10-15 02:22:54+00:00,2020-10-15 02:22:54+00:00,1
0x1ab2ccad4fc97c9968ea87d4435326715be32872,1,0.0,2020-11-14 16:25:38+00:00,2020-11-14 16:25:38+00:00,1
0x1c1b30ca93ef57452d53885d97a74f61daf2bf4f,10,1.1431505338183227e+17,2021-01-03 09:10:19+00:00,2021-01-28 08:14:08+00:00,25
0x1e43dacdcf863676a6bec8f7d6896d6252fac669,1,1.31310133e+16,2020-12-12 23:06:43+00:00,2020-12-12 23:06:43+00:00,1
0x24b3460622d835c56d9a4fe352966b9bdc6c20af,1,0.0,2020-11-11 20:03:52+00:00,2020-11-11 20:03:52+00:00,1
0x26750f1f4277221bdb5f6991473c6ece8c821f9d,1,0.0,2020-12-14 06:09:36+00:00,2020-12-14 06:09:36+00:00,1
0x27f72a000d8e9f324583f3a3491ea66998275b28,1,0.0,2020-11-06 20:23:33+00:00,2020-11-06 20:23:33+00:00,1
0x2844658bf341db96aa247259824f42025e3bcec2,1,0.0,2020-12-15 23:00:30+00:00,2020-12-15 23:00:30+00:00,1
0x2a2fde3e1beb508fcf7c137a1d5965f13a17825e,1,0.0,2020-11-01 01:57:18+00:00,2020-11-01 01:57:18+00:00,1
0x330513970efd9e8dd606275fb4c50378989b3204,10,7.515434775e+16,2019-09-01 06:34:37+00:00,2019-09-30 08:14:58+00:00,30
0x3361bea43c2f5f963f81ac70f64e6fba1f1d2a97,2,0.0,2020-02-14 06:39:02+00:00,2020-02-14 11:34:41+00:00,1
